Accession 	Parent Location 	Collected Location 	Method 	Order	Gene attempts	28S attempt	COI attempt	LCA order, if available	Combined order
NZAC03009116	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009117	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009118	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03009119	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009120	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03009121	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009122	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009123	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03009124	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009125	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009126	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009127	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009128	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03009129	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Arthropoda	Both	28S	COI	(Endopterygota)	(Endopterygota)
NZAC03009130	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03009131	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009132	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03009133	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03009134	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
