Accession 	Gene	Parent Location 	Collected Location 	Method 	Order	LCA order (if available)	Combined order
NZAC03010159	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Araneae	Araneae	Araneae
NZAC03010160	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03010169	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03010179	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03010192	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03010195	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03010196	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03010200	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010214	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03010259	COI	Plot 1 	Subplot L 	Leaf Litter Collection 	Lepidoptera	Lepidoptera	Lepidoptera
NZAC03010260	COI	Plot 1 	Subplot L 	Leaf Litter Collection 	Lepidoptera	Lepidoptera	Lepidoptera
NZAC03010263	COI	Plot 1 	Subplot L 	Leaf Litter Collection 	Isopoda	0	Isopoda
NZAC03010285	COI	Plot 1 	Subplot L 	Leaf Litter Collection 	Amphipoda	0	Amphipoda
NZAC03010319	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03010326	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03010331	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03010337	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Hemiptera	0	Hemiptera
NZAC03010340	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Isopoda	0	Isopoda
NZAC03010344	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03010347	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03010348	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03010355	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03010356	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Thysanoptera	Thysanoptera	Thysanoptera
NZAC03010359	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Hemiptera	0	Hemiptera
NZAC03010364	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Araneae	Araneae	Araneae
NZAC03010369	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Araneae	Araneae	Araneae
NZAC03010372	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03010377	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	Opiliones	Opiliones
NZAC03010381	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Pseudoscorpiones	Pseudoscorpiones	Pseudoscorpiones
NZAC03010387	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03010402	COI	Plot 1 	Subplot L 	Leaf Litter Collection 	Amphipoda	0	Amphipoda
NZAC03010411	COI	Plot 1 	Subplot L 	Leaf Litter Collection 	Isopoda	Isopoda	Isopoda
NZAC03010413	COI	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Isopoda	Isopoda	Isopoda
NZAC03010414	COI	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Lithobiomorpha	Lithobiomorpha	Lithobiomorpha
NZAC03010428	COI	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010471	COI	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Insecta	0	(Insecta)
NZAC03010482	COI	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010495	COI	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
