NZAC	Plot	Method	LCA	LCA_rank	Gene	Phylum	Class	Order
NZAC03012559	Plot_5	Leaf-Litter	Lepidoptera	order	COI only	Arthropoda	Insecta	Lepidoptera
NZAC03011712	Plot_6	Leaf-Litter	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03011807	Plot_6	Leaf-Litter	Isopoda	order	COI only	Arthropoda	Malacostraca	Isopoda
NZAC03012078	Plot_6	Leaf-Litter	Ptiliidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03012844	Plot_5	Leaf-Litter	Endopterygota	infraclass	COI only	Arthropoda	Insecta	(Endopterygota)
NZAC03011555	Plot_4	Pitfall-Trap	Araneae	order	COI only	Arthropoda	Arachnida	Araneae
NZAC03011810	Plot_6	Leaf-Litter	Lepidoptera	order	COI only	Arthropoda	Insecta	Lepidoptera
NZAC03012095	Plot_6	Leaf-Litter	Neoptera	subclass	COI only	Arthropoda	Insecta	(Insecta)
NZAC03013298	Plot_6	Leaf-Litter	Geophilomorpha	order	COI only	Arthropoda	Chilopoda	Geophilomorpha
NZAC03011193	Plot_6	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03013039	Plot_6	Leaf-Litter	Lepidoptera	order	COI only	Arthropoda	Insecta	Lepidoptera
NZAC03011587	Plot_4	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03010953	Plot_6	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03011886	Plot_6	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03013042	Plot_6	Leaf-Litter	Pselaphinae	subfamily	COI only	Arthropoda	Insecta	Coleoptera
NZAC03011504	Plot_4	Pitfall-Trap	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03010922	Plot_6	Leaf-Litter	Isopoda	order	COI only	Arthropoda	Malacostraca	Isopoda
NZAC03011306	Plot_6	Leaf-Litter	Lepidoptera	order	COI only	Arthropoda	Insecta	Lepidoptera
NZAC03013144	Plot_6	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011530	Plot_4	Pitfall-Trap	Formicidae	family	COI only	Arthropoda	Insecta	Hymenoptera
NZAC03010963	Plot_6	Leaf-Litter	Geophilomorpha	order	COI only	Arthropoda	Chilopoda	Geophilomorpha
NZAC03012975	Plot_6	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03013095	Plot_6	Leaf-Litter	Formicidae	family	COI only	Arthropoda	Insecta	Hymenoptera
NZAC03010926	Plot_6	Leaf-Litter	Isopoda	order	COI only	Arthropoda	Malacostraca	Isopoda
NZAC03013097	Plot_6	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03013147	Plot_6	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03013022	Plot_6	Leaf-Litter	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03012909	Plot_6	Leaf-Litter	Haplotaxida	order	COI only	Annelida	(Oligochaeta)	Haplotaxida
NZAC03012173	Plot_6	Leaf-Litter	Pauropoda	order	COI only	Arthropoda	(Myriapoda)	Pauropoda
NZAC03013036	Plot_6	Leaf-Litter	Isopoda	order	COI only	Arthropoda	Malacostraca	Isopoda
NZAC03009040	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009330	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03010201	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03010310	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009277	Plot_7	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03010189	Plot_7	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03010311	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009279	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009313	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009334	Plot_7	Leaf-Litter	Isopoda	order	COI only	Arthropoda	Malacostraca	Isopoda
NZAC03010152	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03010177	Plot_7	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03010209	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03010312	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009280	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03010136	Plot_7	Leaf-Litter	Diplopoda	class	COI only	Arthropoda	Diplopoda	(Diplopoda)
NZAC03010210	Plot_7	Leaf-Litter	Hemiptera	order	COI only	Arthropoda	Insecta	Hemiptera
NZAC03010320	Plot_7	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03010336	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03010171	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03010322	Plot_7	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03010172	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
